X_s	Y_s	X_p	Y_p	X_d	Y_d	X_f	Y_f	X_sum	Y_sum
-19.81205344	34.05638034	-19.58145747	1.997716627	-19.55949595	0.890270039			-19.81205344	35.5534929
-19.80107268	34.6040397	-19.57047671	2.04744741	-19.54851519	0.929212708			-19.80107268	36.14938358
-19.79009192	35.16004612	-19.55949595	2.097969977	-19.53753443	0.97032715			-19.79009192	36.75474718
-19.77911116	35.72325805	-19.54851519	2.149435925	-19.52655366	1.01369653			-19.77911116	37.36837634
-19.7681304	36.30093425	-19.53753443	2.201748206	-19.5155729	1.059431768			-19.7681304	37.99781205
-19.75714964	36.89471116	-19.52655366	2.254808521	-19.50459214	1.107643304			-19.75714964	38.6447383
-19.74616888	37.50059719	-19.5155729	2.308651252	-19.49361138	1.158563341			-19.74616888	39.30497645
-19.73518812	38.12025933	-19.50459214	2.363314981	-19.48263062	1.212296647			-19.73518812	39.98024421
-19.72420736	38.75545603	-19.49361138	2.419252139	-19.47164986	1.268872244			-19.72420736	40.67235748
-19.7132266	39.41061093	-19.48263062	2.476504021	-19.4606691	1.328420914			-19.7132266	41.38592854
-19.70224584	40.08756563	-19.47164986	2.534825819	-19.44968834	1.391032689			-19.70224584	42.12286458
-19.69126508	40.78807791	-19.4606691	2.594386458	-19.43870758	1.456743925			-19.69126508	42.88498976
-19.68028432	41.51380961	-19.44968834	2.655214077	-19.42772682	1.52559952			-19.68028432	43.67402342
-19.66930355	42.26379396	-19.43870758	2.717211104	-19.41674606	1.59764823			-19.66930355	44.48892645
-19.65832279	43.03989581	-19.42772682	2.780415361	-19.4057653	1.67291712			-19.65832279	45.33163996
-19.64734203	43.84386955	-19.41674606	2.844848346	-19.39478453	1.751455643			-19.64734203	46.20398954
-19.63636127	44.68043629	-19.4057653	2.910526429	-19.38380377	1.833223742			-19.63636127	47.11093458
-19.62538051	45.55151965	-19.39478453	2.977588393	-19.37282301	1.918197639			-19.62538051	48.05448792
-19.61439975	46.45906596	-19.38380377	3.045893922	-19.36184225	2.006392991			-19.61439975	49.0366957
-19.60341899	47.40500348	-19.37282301	3.115417349	-19.35086149	2.097767295			-19.60341899	50.05958295
-19.59243823	48.39417862	-19.36184225	3.186229841	-19.33988073	2.192147637			-19.59243823	51.12825592
-19.58145747	49.42861484	-19.35086149	3.258250745	-19.32889997	2.289424407			-19.58145747	52.24485006
-19.57047671	50.5047824	-19.33988073	3.33129217	-19.31791921	2.389429968			-19.57047671	53.40564678
-19.55949595	51.6275595	-19.32889997	3.405377362	-19.30693845	2.491865176			-19.55949595	54.61579952
-19.54851519	52.8018393	-19.31791921	3.480385015	-19.29595769	2.596580343			-19.54851519	55.88048794
-19.53753443	54.02692653	-19.30693845	3.555938186	-19.28497693	2.70330859			-19.53753443	57.19900188
-19.52655366	55.30213529	-19.29595769	3.631969408	-19.27399617	2.811887116			-19.52655366	58.57064034
-19.5155729	56.62957375	-19.28497693	3.708285725	-19.26301541	2.921980909			-19.5155729	59.99765677
-19.50459214	58.01133858	-19.27399617	3.784904523	-19.25203464	3.03299692			-19.50459214	61.48229687
-19.49361138	59.45774074	-19.26301541	3.861582878	-19.24105388	3.144668886			-19.49361138	63.03555622
-19.48263062	60.97069691	-19.25203464	3.937712528	-19.23007312	3.256564261			-19.48263062	64.65949757
-19.47164986	62.54644288	-19.24105388	4.013212685	-19.21909236	3.368209575			-19.47164986	66.35014095
-19.4606691	64.18931427	-19.23007312	4.087767568	-19.2081116	3.479117647			-19.4606691	68.11212164
-19.44968834	65.90065638	-19.21909236	4.161033755	-19.19713084	3.58865521			-19.44968834	69.94690315
-19.43870758	67.67877434	-19.2081116	4.232655393	-19.18615008	3.696471266			-19.43870758	71.85272937
-19.42772682	69.5244463	-19.19713084	4.30205461	-19.17516932	3.80215599			-19.42772682	73.83046118
